trade_date,open,high,low,close
20201014,75.1,76.47,74.8,75.25
20201015,75.03,76.96,74.78,76.1
20201016,75.7,76.38,74.7,74.8
20201019,74.82,77.15,74.51,75.0
20201020,74.51,76.98,74.51,76.3
20201021,75.88,78.05,75.88,77.5
20201022,77.3,78.56,76.2,78.4
20201023,77.75,78.25,75.1,75.11
20201026,74.98,76.8,73.6,76.66
20201027,76.1,76.79,75.39,75.71
20201028,75.76,77.5,75.63,76.71
20201029,76.0,81.89,75.8,81.18
20201030,82.05,82.5,77.55,77.87
20201102,79.01,85.0,79.0,83.4
20201103,83.41,83.45,80.9,82.55
20201104,82.6,86.88,82.2,85.66
20201105,86.05,88.5,85.04,86.11
20201106,86.13,91.3,85.13,90.14
20201109,90.46,94.46,89.43,90.72
20201110,89.7,89.72,86.51,89.66
20201111,88.2,89.77,86.68,88.1
20201112,90.5,90.79,88.23,90.6
20201113,90.3,90.56,88.79,90.52
20201116,91.5,91.8,87.06,89.36
20201117,89.8,91.5,89.37,89.92
20201118,90.04,91.55,88.15,89.29
20201119,90.0,95.32,89.51,94.0
20201120,94.13,94.79,91.46,91.59
20201123,90.5,93.68,89.42,93.47
20201124,93.42,93.45,89.01,90.65
20201125,90.65,91.39,88.85,89.56
20201126,89.0,89.56,86.01,87.02
20201127,87.46,88.86,86.54,87.8
20201130,87.31,88.5,86.26,86.85
20201201,86.25,88.0,86.25,87.92
20201202,89.0,90.59,88.54,89.91
20201203,89.79,90.08,88.21,89.6
20201204,88.82,89.06,87.17,88.36
20201207,88.88,89.0,87.52,88.06
20201208,87.52,88.13,85.45,86.7
20201209,86.01,86.62,83.5,83.56
20201210,83.5,85.45,83.5,85.1
20201211,85.9,85.9,83.41,84.0
20201214,85.88,86.0,83.33,84.44
20201215,84.92,86.4,83.4,85.73
20201216,86.11,89.07,85.93,88.1
20201217,88.7,90.78,88.45,89.67
20201218,89.11,89.99,88.32,89.3
20201221,89.72,89.72,87.04,88.81
20201222,88.33,90.78,87.42,89.75
20201223,89.98,93.5,89.53,92.0
20201224,92.0,92.89,90.55,92.89
20201225,92.67,94.22,91.5,93.58
20201228,93.48,97.35,93.41,95.8
20201229,95.76,95.79,93.76,95.19
20201230,95.5,96.6,94.21,95.98
20201231,96.0,98.98,95.98,98.44
20210104,98.9,101.95,98.03,99.01
20210105,98.07,101.94,97.0,101.54
20210106,103.0,104.8,99.65,100.96
20210107,102.0,105.67,101.2,104.82
20210108,104.0,104.7,101.25,103.01
20210111,103.2,104.33,100.0,101.0
20210112,100.31,104.28,100.31,104.1
20210113,105.0,105.71,102.04,103.34
20210114,103.6,104.39,99.39,99.6
20210115,99.03,100.17,96.78,99.69
20210118,99.39,100.28,97.51,99.12
20210119,99.69,100.11,94.48,94.85
20210120,96.0,98.12,95.5,96.28
20210121,97.24,101.0,96.99,100.1
20210122,100.0,101.53,98.09,100.57
20210125,101.0,102.87,98.7,101.98
20210126,101.0,101.0,97.1,97.94
20210127,97.09,99.84,96.38,97.95
20210128,96.53,96.99,94.5,95.16
20210129,95.35,97.79,93.68,96.33
20210201,96.33,98.51,94.66,98.2
20210202,97.4,100.2,97.4,98.58
20210203,99.5,100.4,96.2,97.64
20210204,96.29,97.59,95.23,96.4
20210205,96.98,98.37,95.0,97.25
20210208,97.26,97.5,94.4,96.66
20210209,97.59,101.9,96.89,101.9
20210210,102.92,108.0,101.5,107.11
20210218,107.12,107.36,97.0,98.3
20210219,95.01,98.33,95.01,97.99
20210222,97.28,97.28,90.38,90.44
20210223,89.05,92.0,88.83,90.94
20210224,96.1,98.6,93.12,95.02
20210225,94.9,95.79,92.1,93.94
20210226,92.0,94.49,91.02,93.08
20210301,93.4,95.3,91.83,93.33
20210302,94.87,95.84,92.7,93.52
20210303,92.73,93.72,91.5,93.49
20210304,92.22,92.58,89.44,89.9
20210305,87.57,90.27,86.03,89.5
20210308,88.5,89.71,85.44,85.5
20210309,84.65,84.9,81.7,81.99
20210310,84.0,84.66,82.05,83.66
20210311,84.58,86.5,83.5,85.95
20210312,85.97,88.03,85.21,85.96
20210315,84.81,84.84,81.0,82.3
20210316,82.41,83.03,81.55,82.58
20210317,82.01,84.28,81.36,84.07
20210318,84.98,87.0,84.8,86.71
20210319,85.0,86.6,84.39,85.31
20210322,84.99,85.53,82.3,83.38
20210323,83.38,83.44,81.07,81.47
20210324,81.5,82.48,81.26,81.68
20210325,81.07,81.5,79.3,80.68
20210326,81.1,82.5,79.96,82.01
20210329,81.96,82.47,81.0,81.47
20210330,81.86,83.49,81.11,82.47
20210331,82.8,82.98,81.25,82.23
20210401,82.0,85.88,81.8,85.43
20210402,85.5,88.5,84.9,87.11
20210406,87.16,87.7,84.0,84.38
20210407,84.38,84.49,81.88,82.72
20210408,82.51,82.92,81.95,82.68
20210409,82.98,82.98,80.24,80.45
20210412,80.3,81.26,79.0,79.3
20210413,78.95,79.82,78.12,78.69
20210414,78.97,80.63,78.89,80.13
20210415,80.13,81.0,78.96,80.28
20210416,80.3,80.6,78.9,79.9
20210419,80.0,82.11,79.0,81.67
20210420,81.08,81.5,80.03,80.98
20210421,80.0,80.5,79.5,79.6
20210422,79.62,80.29,79.01,80.25
20210423,80.42,84.0,80.26,83.86
20210426,84.24,85.0,79.91,80.03
20210427,79.97,81.63,79.2,80.72
20210428,81.0,81.7,80.08,81.55
20210429,82.06,84.25,81.87,83.43
20210430,84.7,84.7,79.8,80.17
20210506,78.31,79.77,77.49,77.56
20210507,77.4,77.55,75.0,75.08
20210510,75.83,79.2,75.83,78.0
20210511,77.16,79.0,76.59,78.34
20210512,78.9,78.9,76.45,77.27
20210513,76.12,76.5,75.0,75.15
